nazev_banky,mesto,banka_id,wkt
"GE Money Bank, a.s.","Hronov","ge_money_bank","POINT(16.1812978052121 50.4804831116687)"
"Československá obchodní banka, a. s.","Jaroměř ","csob","POINT(15.9131539046266 50.3483333114527)"
"Československá obchodní banka, a. s.","Jánské Lázně ","csob","POINT(15.7820589042932 50.6312286120092)"
"Komerční banka, a.s.","Špindlerův Mlýn","komercni_banka","POINT(15.6056047038795 50.7250308122092)"
"Československá obchodní banka, a. s.","Hradec Králové ","csob","POINT(15.8108156044127 50.2134967112064)"
"Československá obchodní banka, a. s.","Špindlerův Mlýn ","csob","POINT(15.606734203882 50.7253328122096)"
"Československá obchodní banka, a. s.","Nový Bydžov ","csob","POINT(15.4902603036836 50.2409589112984)"
"Československá obchodní banka, a. s.","Hronov ","csob","POINT(16.1821239052141 50.479655011667)"
"Komerční banka, a.s.","Hradec Králové","komercni_banka","POINT(15.8041172044004 50.1903611111626)"
"UniCredit Bank Czech Republic and Slovakia, a.s.","Špindlerův Mlýn","unicredit","POINT(15.6090756038874 50.7250675122088)"
"Komerční banka, a.s.","Jičín","komercni_banka","POINT(15.3691417033819 50.4354400116865)"
"GE Money Bank, a.s.","Úpice","ge_money_bank","POINT(16.0188500048438 50.5098211117471)"
"GE Money Bank, a.s.","Dvůr Králové nad Labem","ge_money_bank","POINT(15.8176428044011 50.4274069116166)"
"GE Money Bank, a.s.","Trutnov","ge_money_bank","POINT(15.8906061045451 50.5836139119046)"
"Fio banka, a.s.","Deštné v Orlických h","fio_banka","POINT(16.3501586056103 50.3063811113121)"
"GE Money Bank, a.s.","Dvůr Králové nad Labem","ge_money_bank","POINT(15.8176428044011 50.4274069116166)"
"GE Money Bank, a.s.","Kostelec nad Orlicí","ge_money_bank","POINT(16.2128386053252 50.1229733109785)"
"GE Money Bank, a.s.","Dvůr Králové nad Labem","ge_money_bank","POINT(15.809952204384 50.4252125116134)"
"GE Money Bank, a.s.","Broumov","ge_money_bank","POINT(16.3326442055371 50.5861192118475)"
"GE Money Bank, a.s.","Jičín","ge_money_bank","POINT(15.3691417033819 50.4354406116866)"
"GE Money Bank, a.s.","Trutnov","ge_money_bank","POINT(15.912300004597 50.5614481118596)"
"GE Money Bank, a.s.","Rychnov nad Kněžnou","ge_money_bank","POINT(16.2762628054629 50.1558486110332)"
"Komerční banka, a.s.","Hradec Králové","komercni_banka","POINT(15.8478936044983 50.19707861117)"
"Československá obchodní banka, a. s.","Rychnov nad Kněžnou ","csob","POINT(16.2751272054596 50.1629467110471)"
"Československá obchodní banka, a. s.","Hradec Králové ","csob","POINT(15.8358161044706 50.2014819111801)"
"Československá obchodní banka, a. s.","Hradec Králové ","csob","POINT(15.8183219044299 50.2114764112016)"
"Československá obchodní banka, a. s.","Hradec Králové ","csob","POINT(15.829816704456 50.2096414111967)"
"Československá obchodní banka, a. s.","Černý Důl ","csob","POINT(15.7109239041316 50.6342928120241)"
"Československá obchodní banka, a. s.","Hradec Králové ","csob","POINT(15.8284461044531 50.2082575111941)"
"Československá obchodní banka, a. s.","Vrchlabí ","csob","POINT(15.611517803907 50.6271486120231)"
"Československá obchodní banka, a. s.","Hradec Králové ","csob","POINT(15.8265553044498 50.2006644111798)"
"Československá obchodní banka, a. s.","Pec pod Sněžkou ","csob","POINT(15.733318904174 50.6934747121333)"
"Československá obchodní banka, a. s.","Jaroměř ","csob","POINT(15.9168936046341 50.3558831114667)"
"Komerční banka, a.s.","Červený Kostelec","komercni_banka","POINT(16.0919381050123 50.4768694116743)"
"Komerční banka, a.s.","Rychnov nad Kněžnou","komercni_banka","POINT(16.27501310546 50.1570892110358)"
"GE Money Bank, a.s.","Dobruška","ge_money_bank","POINT(16.1600414051878 50.2913958113102)"
"GE Money Bank, a.s.","Hradec Králové","ge_money_bank","POINT(15.8532414045085 50.2121519111985)"
"GE Money Bank, a.s.","Nové Město nad Metují","ge_money_bank","POINT(16.1509833051603 50.3513117114264)"
"GE Money Bank, a.s.","Náchod","ge_money_bank","POINT(16.191472805242 50.4239269115596)"
"GE Money Bank, a.s.","Jaroměř","ge_money_bank","POINT(15.9168597046341 50.3553819114657)"
"GE Money Bank, a.s.","Trutnov","ge_money_bank","POINT(15.8906061045451 50.5836139119046)"
"GE Money Bank, a.s.","Trutnov","ge_money_bank","POINT(15.8941858045548 50.571912211882)"
"Komerční banka, a.s.","Náchod","komercni_banka","POINT(16.19520390525 50.4270019115649)"
"GE Money Bank, a.s.","Kostelec nad Orlicí","ge_money_bank","POINT(16.2128386053252 50.1229733109785)"
"GE Money Bank, a.s."," Jičín","ge_money_bank","POINT(15.3540317033472 50.436819411691)"
"UniCredit Bank Czech Republic and Slovakia, a.s.","Hradec Králové","unicredit","POINT(15.8230592044404 50.2132403112044)"
"Komerční banka, a.s.","Trutnov","komercni_banka","POINT(15.9087530974269 50.5624596956483)"
"Komerční banka, a.s.","Trutnov","komercni_banka","POINT(15.9087530974269 50.5624596956483)"
"Československá obchodní banka, a. s.","Náchod ","csob","POINT(16.1665752631374 50.4172487166257)"
"Československá obchodní banka, a. s.","Náchod ","csob","POINT(16.1650816512417 50.4174969623149)"
"Československá obchodní banka, a. s.","Náchod ","csob","POINT(16.1650816512417 50.4174969623149)"
"Československá obchodní banka, a. s.","Hradec Králové ","csob","POINT(15.8205423245693 50.2108099720474)"
"Československá obchodní banka, a. s.","Hradec Králové ","csob","POINT(15.8222953258243 50.2110872039356)"
"Československá obchodní banka, a. s.","Hradec Králové ","csob","POINT(15.8222953258243 50.2110872039356)"
"Československá obchodní banka, a. s.","Jičín ","csob","POINT(15.3591703546418 50.435924832607)"
"Československá obchodní banka, a. s.","Hradec Králové ","csob","POINT(15.8168545512297 50.2128371244251)"
"Československá obchodní banka, a. s.","Hradec Králové ","csob","POINT(15.8168545512297 50.2128371244251)"
"Československá obchodní banka, a. s.","Hradec Králové ","csob","POINT(15.8168545512297 50.2128371244251)"
"Československá obchodní banka, a. s.","Nové Město nad Metují ","csob","POINT(16.1505100551776 50.3464410448764)"
"Československá obchodní banka, a. s.","Nové Město nad Metují ","csob","POINT(16.1505100551776 50.3464410448764)"
"Československá obchodní banka, a. s.","Trutnov ","csob","POINT(15.9095000178549 50.5626951253275)"
"Československá obchodní banka, a. s.","Trutnov ","csob","POINT(15.9095000178549 50.5626951253275)"
"Československá obchodní banka, a. s.","Dvůr Králové nad Labem ","csob","POINT(15.8170675092363 50.4319359893997)"
"Československá obchodní banka, a. s.","Dvůr Králové nad Labem ","csob","POINT(15.8130317771209 50.4310485435202)"
"Československá obchodní banka, a. s.","Vrchlabí ","csob","POINT(15.6115180482052 50.6271485054379)"
"UniCredit Bank Czech Republic and Slovakia, a.s.","Hradec Králové","unicredit","POINT(15.8234167471814 50.2104018524617)"
"GE Money Bank, a.s.","Náchod","ge_money_bank","POINT(16.167234234225 50.4172458532113)"
"GE Money Bank, a.s.","Hradec Králové","ge_money_bank","POINT(15.8532418267989 50.2121519730551)"
"GE Money Bank, a.s.","Červený Kostelec","ge_money_bank","POINT(16.0899617981972 50.4758988161299)"
"GE Money Bank, a.s.","Červený Kostelec","ge_money_bank","POINT(16.0899617981972 50.4758988161299)"
"GE Money Bank, a.s.","Nové Město nad Metují","ge_money_bank","POINT(16.1509836485132 50.3513115964453)"
"GE Money Bank, a.s.","Hronov","ge_money_bank","POINT(16.1812978062145 50.4804830709196)"
"GE Money Bank, a.s.","Police nad Metují","ge_money_bank","POINT(16.2331748542336 50.5368994288006)"
"GE Money Bank, a.s.","Police nad Metují","ge_money_bank","POINT(16.2331748542336 50.5368994288006)"
"Česká Spořitelna","Hradec Králové","ceska_sporitelna","POINT(15.8125700733796 50.2164556759911)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.8141505084399 50.432248852041)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.8142080715869 50.4322441641186)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.8214188814133 50.2135444747948)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.8301263629094 50.2108573238049)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.8301263629094 50.2108573238049)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.8214188814133 50.2135444747948)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.8301263629094 50.2108573238049)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.9170785363022 50.3555764361534)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.3557102753365 50.4346904192384)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.3557102753365 50.4346904192384)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(16.1644856203014 50.4174372584403)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(16.164445277227 50.4174252723131)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.5160071616362 50.4949608581221)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.5160071616362 50.4949608581221)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.5160071616362 50.4949608581221)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.8489434373993 50.1970144981693)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(16.2752183789524 50.1634250522524)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(16.2751889984314 50.1634319753478)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.9134101935533 50.5601826687573)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.9134101935533 50.5601826687573)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.6124764140617 50.6262307242965)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.6124764140617 50.6262307242965)"
"Česká Spořitelna","Hradec Králové","ceska_sporitelna","POINT(15.8472350743416 50.1969481592602)"
"Česká Spořitelna","Hradec Králové","ceska_sporitelna","POINT(15.8107168960979 50.2145761602497)"
"Česká Spořitelna","Jičín","ceska_sporitelna","POINT(15.3554742203661 50.4320533192752)"
"Česká Spořitelna","Rychnov nad Kněžnou","ceska_sporitelna","POINT(16.2754061133146 50.1574494708137)"
"Česká Spořitelna","Jičín","ceska_sporitelna","POINT(15.3573997258934 50.4318535983823)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(16.1683413419687 50.4175732724404)"
"Česká Spořitelna","Jaroměř","ceska_sporitelna","POINT(15.9128927115764 50.3554884264523)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(16.2745347543771 50.1594492029456)"
"Komerční banka, a.s.","Jičín","komercni_banka","POINT(15.3510590676726 50.4362952139913)"
"Komerční banka, a.s.","Trutnov","komercni_banka","POINT(15.9160481241939 50.5616957256346)"
"Komerční banka, a.s.","Hradec Králové","komercni_banka","POINT(15.8296274307548 50.2125155196964)"
"Komerční banka, a.s.","Jičín","komercni_banka","POINT(15.3539826656983 50.4341159068294)"
"Komerční banka, a.s.","Dvůr Králové nad Labem","komercni_banka","POINT(15.8136896268091 50.431321762888)"
"Komerční banka, a.s.","Rychnov nad Kněžnou","komercni_banka","POINT(16.273783098719 50.1633095337378)"
"Komerční banka, a.s.","Hradec Králové","komercni_banka","POINT(15.8177023741009 50.2129818237075)"
"Komerční banka, a.s.","Hradec Králové","komercni_banka","POINT(15.8240699408202 50.2122589884231)"
"Komerční banka, a.s.","Dvůr Králové nad Labem","komercni_banka","POINT(15.8176432150598 50.4274068445216)"
"Československá obchodní banka, a. s.","Hradec Králové ","csob","POINT(15.8540635047201 50.2166475217532)"
"Československá obchodní banka, a. s.","Jičín ","csob","POINT(15.355488885382 50.4320504182489)"
"Československá obchodní banka, a. s.","Trutnov ","csob","POINT(15.9126730510112 50.559945463251)"
"Československá obchodní banka, a. s.","Hradec Králové ","csob","POINT(15.8571806038795 50.1993784586811)"
"UniCredit Bank Czech Republic and Slovakia, a.s.","Hradec Králové","unicredit","POINT(15.8295249357678 50.2084784581309)"
"Fio banka, a.s.","Hradec Králové","fio_banka","POINT(15.8246389761123 50.2124327549327)"
"GE Money Bank, a.s.","Hradec Králové","ge_money_bank","POINT(15.8521070952489 50.2180707185016)"
"GE Money Bank, a.s.","Trutnov","ge_money_bank","POINT(15.9188338022301 50.5628838739418)"
"Fio banka, a.s.","Hradec Králové - Pražské Předměstí","fio_banka","POINT(15.8185240536132 50.2134815035005)"
"GE Money Bank, a.s.","Hradec Králové","ge_money_bank","POINT(15.8219650865141 50.2134734405059)"
"GE Money Bank, a.s.","Hradec Králové","ge_money_bank","POINT(15.8150875315276 50.2134383853621)"
"Česká Spořitelna","Hradec Králové","ceska_sporitelna","POINT(15.8401783984256 50.1965931616818)"
"Česká Spořitelna","Hradec Králové","ceska_sporitelna","POINT(15.8176997260612 50.2129806172604)"
"Česká Spořitelna","Trutnov","ceska_sporitelna","POINT(15.9082893251073 50.5636825185457)"
"Česká Spořitelna","Jičín","ceska_sporitelna","POINT(15.3509320667206 50.4373622829227)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.8066720123629 50.2104380941759)"
"Komerční banka, a.s.","Vrchlabí","komercni_banka","POINT(15.6121395157313 50.6241261313708)"
"Komerční banka, a.s.","Nový Bydžov","komercni_banka","POINT(15.4901564775624 50.2418405392534)"
"Komerční banka, a.s.","Lázně Bělohrad","komercni_banka","POINT(15.5843342415014 50.4294546625912)"
"Komerční banka, a.s.","Chlumec nad Cidlinou","komercni_banka","POINT(15.4626191448796 50.1538037776307)"
"Komerční banka, a.s.","Náchod","komercni_banka","POINT(16.1635054044622 50.4169670437733)"
"Komerční banka, a.s.","Hradec Králové","komercni_banka","POINT(15.8118559210482 50.2154309938547)"
"Komerční banka, a.s.","Nové Město nad Metují","komercni_banka","POINT(16.1509815272085 50.3498337949555)"
"Komerční banka, a.s.","Dobruška","komercni_banka","POINT(16.1603197479548 50.2925329224041)"
"Komerční banka, a.s.","Sobotka","komercni_banka","POINT(15.1766574193606 50.4672313476087)"
"Komerční banka, a.s.","Trutnov","komercni_banka","POINT(15.8906063304734 50.5836140144893)"
"Komerční banka, a.s.","Hradec Králové","komercni_banka","POINT(15.7806553769747 50.1990581769595)"
"Komerční banka, a.s.","Jaroměř","komercni_banka","POINT(15.9095580542176 50.3464889998299)"
"Komerční banka, a.s.","Broumov","komercni_banka","POINT(16.3315649384496 50.5858171491373)"
"Komerční banka, a.s.","Hořice","komercni_banka","POINT(15.6331219026134 50.3686194582122)"
"Komerční banka, a.s.","Pec pod Sněžkou","komercni_banka","POINT(15.7346536041769 50.6942178121345)"
"Komerční banka, a.s.","Třebechovice pod Orebem","komercni_banka","POINT(15.9930351825867 50.2012905656309)"
"Komerční banka, a.s.","Nová Paka","komercni_banka","POINT(15.5153509257808 50.4949064064189)"
"Komerční banka, a.s.","Hronov","komercni_banka","POINT(16.1812492484049 50.4802337355057)"
"Komerční banka, a.s.","Police nad Metují","komercni_banka","POINT(16.233310479018 50.5372534966684)"
"Komerční banka, a.s.","Jaroměř","komercni_banka","POINT(15.917352324049 50.3554639387434)"
"Komerční banka, a.s.","Týniště nad Orlicí","komercni_banka","POINT(16.074853018763 50.1477768942227)"
"Československá obchodní banka, a. s.","Jičín ","csob","POINT(15.3565305206721 50.4363194772154)"
"Československá obchodní banka, a. s.","Hradec Králové ","csob","POINT(15.811855381448 50.2136676820663)"
"GE Money Bank, a.s.","Dvůr Králové nad Labem","ge_money_bank","POINT(15.8098539482074 50.4251546528271)"
"GE Money Bank, a.s.","Náchod","ge_money_bank","POINT(16.1620011847447 50.416307448375)"
"Československá obchodní banka, a. s.","Trutnov ","csob","POINT(15.9180446888892 50.5622554532619)"
"Československá obchodní banka, a. s.","Hradec Králové ","csob","POINT(15.8489333308432 50.1970137399889)"
"Československá obchodní banka, a. s.","Hradec Králové ","csob","POINT(15.8532418267989 50.2121519730551)"
"Československá obchodní banka, a. s.","Lázně Bělohrad ","csob","POINT(15.5824014500544 50.4306682122318)"
"Československá obchodní banka, a. s.","Trutnov ","csob","POINT(15.8906063304734 50.5836140144893)"
"Československá obchodní banka, a. s.","Chlumec nad Cidlinou ","csob","POINT(15.4629020031386 50.1538403511334)"
"Československá obchodní banka, a. s.","Dobruška ","csob","POINT(16.1587766959802 50.2913226935168)"
"UniCredit Bank Czech Republic and Slovakia, a.s.","Hradec Králové","unicredit","POINT(15.8489333308432 50.1970137399889)"
"Fio banka, a.s.","Hradec Králové - Nový Hradec Králové","fio_banka","POINT(15.8489333308432 50.1970137399889)"
"GE Money Bank, a.s.","Hradec Králové","ge_money_bank","POINT(15.8489333308432 50.1970137399889)"
"GE Money Bank, a.s.","Česká Skalice","ge_money_bank","POINT(16.0472547425825 50.3953490168388)"
"Citibank Europe plc, organizační složka","Hradec Králové","citibank_europe_plc_organizacni_slozka","POINT(15.8034393106203 50.1905163218293)"
"GE Money Bank, a.s.","Vrchlabí","ge_money_bank","POINT(15.6121395157313 50.6241261313708)"
"Fio banka, a.s.","Náchod","fio_banka","POINT(16.1618060312636 50.4161861951303)"
"Československá obchodní banka, a. s.","Opočno ","csob","POINT(16.114098315629 50.2668456928558)"
"Československá obchodní banka, a. s.","Červený Kostelec ","csob","POINT(16.0886053850594 50.4761576829375)"
"Československá obchodní banka, a. s.","Broumov ","csob","POINT(16.3334345692154 50.5850832113632)"
"Československá obchodní banka, a. s.","Náchod ","csob","POINT(16.1914730558065 50.4239271099354)"
"Československá obchodní banka, a. s.","Česká Skalice ","csob","POINT(16.0459941294319 50.3955609309711)"
"Československá obchodní banka, a. s.","Nová Paka ","csob","POINT(15.5199165065217 50.4928471931676)"
"Československá obchodní banka, a. s.","Kostelec nad Orlicí ","csob","POINT(16.2154205102005 50.1223527035911)"
"Československá obchodní banka, a. s.","Hradec Králové ","csob","POINT(15.8007377275783 50.1792607220767)"
"Československá obchodní banka, a. s.","Hořice ","csob","POINT(15.6317460274697 50.3676268137122)"
"Fio banka, a.s.","Trutnov","fio_banka","POINT(15.9138848697128 50.5616515183048)"
"Raiffeisenbank a.s.","Trutnov","raiffeisenbank","POINT(15.9119154876983 50.5612769337109)"
"Raiffeisenbank a.s.","Hradec Králové","raiffeisenbank","POINT(15.8034393106203 50.1905163218293)"
"Sberbank CZ, a.s.","Hradec Králové","sberbank","POINT(15.8205423245693 50.2108099720474)"
"UniCredit Bank Czech Republic and Slovakia, a.s.","Jičín","unicredit","POINT(15.3557416492612 50.436729466406)"
"UniCredit Bank Czech Republic and Slovakia, a.s.","Dvůr Králové nad Labem","unicredit","POINT(15.8151154749075 50.4336115828223)"
"GE Money Bank, a.s.","Rychnov nad Kněžnou","ge_money_bank","POINT(16.274051924144 50.1624898548781)"
"Raiffeisenbank a.s.","Hradec Králové","raiffeisenbank","POINT(15.8144874288516 50.213511899904)"
"GE Money Bank, a.s.","Hostinné","ge_money_bank","POINT(15.7241419501879 50.5404037436531)"
"UniCredit Bank Czech Republic and Slovakia, a.s.","Vrchlabí","unicredit","POINT(15.6121933480731 50.6240104007647)"
"Raiffeisenbank a.s.","Hradec Králové","raiffeisenbank","POINT(15.830801604058 50.2098741694646)"
"UniCredit Bank Czech Republic and Slovakia, a.s.","Trutnov","unicredit","POINT(15.9136834879732 50.5611458257769)"
"GE Money Bank, a.s.","Hořice","ge_money_bank","POINT(15.6315515855157 50.3683145572336)"
"GE Money Bank, a.s.","Dvůr Králové nad Labem","ge_money_bank","POINT(15.8137877423132 50.4333620848631)"
"Fio banka, a.s.","Hradec Králové - Plačice","fio_banka","POINT(15.7806553769747 50.1990581769595)"
"GE Money Bank, a.s.","Hradec Králové","ge_money_bank","POINT(15.8391902786713 50.2175000809755)"
"GE Money Bank, a.s.","Nová Paka","ge_money_bank","POINT(15.5169051684326 50.4938595482132)"
"UniCredit Bank Czech Republic and Slovakia, a.s.","Náchod","unicredit","POINT(16.1649250410915 50.4169691169174)"
"GE Money Bank, a.s."," Chlumec nad Cidlinou","ge_money_bank","POINT(15.4617236110774 50.1543594256635)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.7803455626899 50.1988934021339)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(16.3319937589399 50.5859104154344)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(16.093167537088 50.476166673515)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(16.045144492637 50.3954343411847)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(16.1596938058399 50.2914299785569)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.6325434080633 50.3675047776306)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.724694848883 50.5412931378592)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(16.1823823029446 50.4780531984061)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(16.2108851756584 50.1230255363654)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.5824793317867 50.4288919983746)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(16.1509789590776 50.3494343068494)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.4917391694061 50.2409871776425)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(16.1149909440354 50.2674412997382)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(16.2328521114144 50.5358292588698)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.1794105847822 50.4677228459377)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.9940892202022 50.2007550569177)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(16.0740182457889 50.1480061160602)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(16.020793091992 50.5100370281976)"
"Česká Spořitelna","Hradec Králové","ceska_sporitelna","POINT(15.8273048516291 50.1982576877336)"
"Česká Spořitelna","Hradec Králové","ceska_sporitelna","POINT(15.8017809733391 50.1820888439535)"
"Česká Spořitelna","Hradec Králové","ceska_sporitelna","POINT(15.8514093166779 50.2171635385825)"
"Česká Spořitelna","Špindlerův Mlýn","ceska_sporitelna","POINT(15.6063026863533 50.7254117945597)"
"Česká Spořitelna","Hradec Králové","ceska_sporitelna","POINT(15.8391985438446 50.2175039591739)"
"Česká Spořitelna","Dvůr Králové nad Labem","ceska_sporitelna","POINT(15.8104064261304 50.4254016110973)"
"Česká Spořitelna","Jičín","ceska_sporitelna","POINT(15.3691377466427 50.4354437526207)"
"Komerční banka, a.s.","Hradec Králové","komercni_banka","POINT(15.8469594355575 50.2157367017426)"
"GE Money Bank, a.s.","Rychnov nad Kněžnou","ge_money_bank","POINT(16.2843081374762 50.162319650154)"
"Česká Spořitelna","Vrchlabí","ceska_sporitelna","POINT(15.6191108447185 50.6207032806511)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.4591345878251 50.1568965851202)"
"Česká Spořitelna","Trutnov","ceska_sporitelna","POINT(15.8893072972829 50.5832052433954)"
"Česká Spořitelna","Hradec Králové","ceska_sporitelna","POINT(15.8303046596188 50.2036282379608)"
"Česká Spořitelna","Trutnov","ceska_sporitelna","POINT(15.8966666919457 50.562830710123)"
"Česká Spořitelna","Náchod","ceska_sporitelna","POINT(16.1588547503787 50.4090016370319)"
"Česká Spořitelna","Meziměstí","ceska_sporitelna","POINT(16.2401335630943 50.6261607025908)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.5487877985008 50.3727839942792)"
"Česká Spořitelna","Svoboda nad Úpou","ceska_sporitelna","POINT(15.8163186746197 50.625924235772)"
"Česká Spořitelna","Teplice nad Metují","ceska_sporitelna","POINT(16.1705946054961 50.5916692720093)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.2706372933161 50.3314779545688)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.2152343015032 50.3755310161985)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.6348235340109 50.2387797610173)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(16.4661293174058 50.1654540379821)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(16.0698211104365 50.5056426503173)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(16.2375086697215 50.2034784517211)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(16.2904093625052 50.117550623319)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.9091908490252 50.6565362853209)"
"Česká Spořitelna","Pec pod Sněžkou","ceska_sporitelna","POINT(15.7670036209982 50.6892251571597)"
"Česká Spořitelna","Smiřice","ceska_sporitelna","POINT(15.8650702981065 50.2995821282887)"
"Česká Spořitelna","Hradec Králové","ceska_sporitelna","POINT(15.8768283822863 50.2179575399648)"
"Česká Spořitelna","Kvasiny","ceska_sporitelna","POINT(16.257313108163 50.2045245797725)"
"Česká Spořitelna",,"ceska_sporitelna","POINT(15.6243695086117 50.6108860964506)"
"Československá obchodní banka, a. s.","Úpice ","csob","POINT(16.0099497233152 50.5141780917774)"
"Československá obchodní banka, a. s.","Horní Maršov ","csob","POINT(15.819688061765 50.6610866131959)"
"GE Money Bank, a.s.","Hradec Králové","ge_money_bank","POINT(15.8358942143114 50.1867626539374)"
"Československá obchodní banka, a. s.","Jaroměř ","csob","POINT(15.9319836884893 50.3387207439151)"
"Komerční banka, a.s.","Trutnov","komercni_banka","POINT(15.9611764954213 50.5738061983625)"
"Československá obchodní banka, a. s.","Hradec Králové ","csob","POINT(15.8618589297904 50.1756507282802)"
"Československá obchodní banka, a. s.","Dvůr Králové nad Labem ","csob","POINT(15.8016593335854 50.4344612032456)"
"Československá obchodní banka, a. s.","Rychnov nad Kněžnou ","csob","POINT(16.2834073064597 50.1577791590113)"
"Československá obchodní banka, a. s.","Hradec Králové ","csob","POINT(15.8325333904536 50.2183095099924)"
"Komerční banka, a.s.","Hradec Králové","komercni_banka","POINT(15.8475668592914 50.1854824333092)"
"Komerční banka, a.s.","Kostelec nad Orlicí","komercni_banka","POINT(16.2126628683082 50.1230070285131)"
"GE Money Bank, a.s.","Janské Lázně","ge_money_bank","POINT(15.7705817042672 50.6314550120111)"
"Česká Spořitelna","Trutnov","ceska_sporitelna","POINT(15.8930911897804 50.5701113895941)"
